Date,Month,Day,Year,TB10YRS
6/1/1984,6,1,1984,13.56285714
7/1/1984,7,1,1984,13.36238095
8/1/1984,8,1,1984,12.71608696
9/1/1984,9,1,1984,12.52263158
10/1/1984,10,1,1984,12.16045455
11/1/1984,11,1,1984,11.57263158
12/1/1984,12,1,1984,11.4995
1/1/1985,1,1,1985,11.38428571
2/1/1985,2,1,1985,11.50888889
3/1/1985,3,1,1985,11.8552381
4/1/1985,4,1,1985,11.4347619
5/1/1985,5,1,1985,10.84681818
6/1/1985,6,1,1985,10.156
7/1/1985,7,1,1985,10.30681818
8/1/1985,8,1,1985,10.33181818
9/1/1985,9,1,1985,10.37315789
10/1/1985,10,1,1985,10.23681818
11/1/1985,11,1,1985,9.781578947
12/1/1985,12,1,1985,9.259047619
1/1/1986,1,1,1986,9.193809524
2/1/1986,2,1,1986,8.704210526
3/1/1986,3,1,1986,7.7785
4/1/1986,4,1,1986,7.299090909
5/1/1986,5,1,1986,7.70952381
6/1/1986,6,1,1986,7.79952381
7/1/1986,7,1,1986,7.303181818
8/1/1986,8,1,1986,7.165714286
9/1/1986,9,1,1986,7.447619048
10/1/1986,10,1,1986,7.426363636
11/1/1986,11,1,1986,7.250555556
12/1/1986,12,1,1986,7.112727273
1/1/1987,1,1,1987,7.0845
2/1/1987,2,1,1987,7.250526316
3/1/1987,3,1,1987,7.248636364
4/1/1987,4,1,1987,8.022857143
5/1/1987,5,1,1987,8.613
6/1/1987,6,1,1987,8.402272727
7/1/1987,7,1,1987,8.446818182
8/1/1987,8,1,1987,8.76047619
9/1/1987,9,1,1987,9.421904762
10/1/1987,10,1,1987,9.52
11/1/1987,11,1,1987,8.860526316
12/1/1987,12,1,1987,8.987727273
1/1/1988,1,1,1988,8.665789474
2/1/1988,2,1,1988,8.212
3/1/1988,3,1,1988,8.373478261
4/1/1988,4,1,1988,8.7185
5/1/1988,5,1,1988,9.089047619
6/1/1988,6,1,1988,8.921363636
7/1/1988,7,1,1988,9.056
8/1/1988,8,1,1988,9.260434783
9/1/1988,9,1,1988,8.977142857
10/1/1988,10,1,1988,8.7955
11/1/1988,11,1,1988,8.9625
12/1/1988,12,1,1988,9.105714286
1/1/1989,1,1,1989,9.0915
2/1/1989,2,1,1989,9.168947368
3/1/1989,3,1,1989,9.357727273
4/1/1989,4,1,1989,9.1755
5/1/1989,5,1,1989,8.859090909
6/1/1989,6,1,1989,8.277272727
7/1/1989,7,1,1989,8.0185
8/1/1989,8,1,1989,8.112608696
9/1/1989,9,1,1989,8.1905
10/1/1989,10,1,1989,8.007619048
11/1/1989,11,1,1989,7.874285714
12/1/1989,12,1,1989,7.836
1/1/1990,1,1,1990,8.206666667
2/1/1990,2,1,1990,8.473157895
3/1/1990,3,1,1990,8.588636364
4/1/1990,4,1,1990,8.7855
5/1/1990,5,1,1990,8.758181818
6/1/1990,6,1,1990,8.48
7/1/1990,7,1,1990,8.471428571
8/1/1990,8,1,1990,8.752608696
9/1/1990,9,1,1990,8.893157895
10/1/1990,10,1,1990,8.719545455
11/1/1990,11,1,1990,8.392
12/1/1990,12,1,1990,8.075
1/1/1991,1,1,1991,8.091904762
2/1/1991,2,1,1991,7.854736842
3/1/1991,3,1,1991,8.11
4/1/1991,4,1,1991,8.039090909
5/1/1991,5,1,1991,8.067727273
6/1/1991,6,1,1991,8.284
7/1/1991,7,1,1991,8.272727273
8/1/1991,8,1,1991,7.9
9/1/1991,9,1,1991,7.65
10/1/1991,10,1,1991,7.527272727
11/1/1991,11,1,1991,7.417368421
12/1/1991,12,1,1991,7.088571429
1/1/1992,1,1,1992,7.032380952
2/1/1992,2,1,1992,7.337894737
3/1/1992,3,1,1992,7.542272727
4/1/1992,4,1,1992,7.48047619
5/1/1992,5,1,1992,7.392
6/1/1992,6,1,1992,7.261818182
7/1/1992,7,1,1992,6.844545455
8/1/1992,8,1,1992,6.585714286
9/1/1992,9,1,1992,6.415238095
10/1/1992,10,1,1992,6.589047619
11/1/1992,11,1,1992,6.873157895
12/1/1992,12,1,1992,6.77
1/1/1993,1,1,1993,6.6
2/1/1993,2,1,1993,6.258947368
3/1/1993,3,1,1993,5.975217391
4/1/1993,4,1,1993,5.96952381
5/1/1993,5,1,1993,6.0355
6/1/1993,6,1,1993,5.962727273
7/1/1993,7,1,1993,5.805238095
8/1/1993,8,1,1993,5.677727273
9/1/1993,9,1,1993,5.36
10/1/1993,10,1,1993,5.334
11/1/1993,11,1,1993,5.724
12/1/1993,12,1,1993,5.774090909
1/1/1994,1,1,1994,5.7505
2/1/1994,2,1,1994,5.973157895
3/1/1994,3,1,1994,6.482608696
4/1/1994,4,1,1994,6.972105263
5/1/1994,5,1,1994,7.183333333
6/1/1994,6,1,1994,7.101363636
7/1/1994,7,1,1994,7.298
8/1/1994,8,1,1994,7.236086957
9/1/1994,9,1,1994,7.457142857
10/1/1994,10,1,1994,7.744
11/1/1994,11,1,1994,7.955
12/1/1994,12,1,1994,7.813809524
1/1/1995,1,1,1995,7.7795
2/1/1995,2,1,1995,7.469473684
3/1/1995,3,1,1995,7.204782609
4/1/1995,4,1,1995,7.062631579
5/1/1995,5,1,1995,6.632727273
6/1/1995,6,1,1995,6.168181818
7/1/1995,7,1,1995,6.278
8/1/1995,8,1,1995,6.48826087
9/1/1995,9,1,1995,6.1975
10/1/1995,10,1,1995,6.044761905
11/1/1995,11,1,1995,5.93047619
12/1/1995,12,1,1995,5.7115
1/1/1996,1,1,1996,5.652380952
2/1/1996,2,1,1996,5.8055
3/1/1996,3,1,1996,6.268571429
4/1/1996,4,1,1996,6.511363636
5/1/1996,5,1,1996,6.736818182
6/1/1996,6,1,1996,6.912
7/1/1996,7,1,1996,6.865454545
8/1/1996,8,1,1996,6.635454545
9/1/1996,9,1,1996,6.832
10/1/1996,10,1,1996,6.533636364
11/1/1996,11,1,1996,6.203684211
12/1/1996,12,1,1996,6.302380952
1/1/1997,1,1,1997,6.579047619
2/1/1997,2,1,1997,6.419473684
3/1/1997,3,1,1997,6.6945
4/1/1997,4,1,1997,6.885454545
5/1/1997,5,1,1997,6.710952381
6/1/1997,6,1,1997,6.493809524
7/1/1997,7,1,1997,6.220454545
8/1/1997,8,1,1997,6.298571429
9/1/1997,9,1,1997,6.208571429
10/1/1997,10,1,1997,6.029545455
11/1/1997,11,1,1997,5.875
12/1/1997,12,1,1997,5.808636364
1/1/1998,1,1,1998,5.5445
2/1/1998,2,1,1998,5.574736842
3/1/1998,3,1,1998,5.647272727
4/1/1998,4,1,1998,5.637619048
5/1/1998,5,1,1998,5.6525
6/1/1998,6,1,1998,5.496363636
7/1/1998,7,1,1998,5.461363636
8/1/1998,8,1,1998,5.341904762
9/1/1998,9,1,1998,4.806666667
10/1/1998,10,1,1998,4.53
11/1/1998,11,1,1998,4.827368421
12/1/1998,12,1,1998,4.645
1/1/1999,1,1,1999,4.722105263
2/1/1999,2,1,1999,4.998947368
3/1/1999,3,1,1999,5.232608696
4/1/1999,4,1,1999,5.184545455
5/1/1999,5,1,1999,5.5395
6/1/1999,6,1,1999,5.899545455
7/1/1999,7,1,1999,5.791904762
8/1/1999,8,1,1999,5.939090909
9/1/1999,9,1,1999,5.915238095
10/1/1999,10,1,1999,6.112
11/1/1999,11,1,1999,6.034
12/1/1999,12,1,1999,6.275454545
1/1/2000,1,1,2000,6.661
2/1/2000,2,1,2000,6.5195
3/1/2000,3,1,2000,6.256521739
4/1/2000,4,1,2000,5.990526316
5/1/2000,5,1,2000,6.440454545
6/1/2000,6,1,2000,6.097272727
7/1/2000,7,1,2000,6.054
8/1/2000,8,1,2000,5.826086957
9/1/2000,9,1,2000,5.799
10/1/2000,10,1,2000,5.738571429
11/1/2000,11,1,2000,5.717142857
12/1/2000,12,1,2000,5.2405
1/1/2001,1,1,2001,5.160952381
2/1/2001,2,1,2001,5.098947368
3/1/2001,3,1,2001,4.885454545
4/1/2001,4,1,2001,5.141
5/1/2001,5,1,2001,5.391363636
6/1/2001,6,1,2001,5.284285714
7/1/2001,7,1,2001,5.236190476
8/1/2001,8,1,2001,4.971304348
9/1/2001,9,1,2001,4.731764706
10/1/2001,10,1,2001,4.566818182
11/1/2001,11,1,2001,4.6515
12/1/2001,12,1,2001,5.0875
1/1/2002,1,1,2002,5.035714286
2/1/2002,2,1,2002,4.911578947
3/1/2002,3,1,2002,5.284
4/1/2002,4,1,2002,5.210909091
5/1/2002,5,1,2002,5.164545455
6/1/2002,6,1,2002,4.9265
7/1/2002,7,1,2002,4.653181818
8/1/2002,8,1,2002,4.257272727
9/1/2002,9,1,2002,3.87
10/1/2002,10,1,2002,3.940909091
11/1/2002,11,1,2002,4.048421053
12/1/2002,12,1,2002,4.032380952
1/1/2003,1,1,2003,4.048571429
2/1/2003,2,1,2003,3.902631579
3/1/2003,3,1,2003,3.807142857
4/1/2003,4,1,2003,3.958571429
